ticker,date,kind,factor_step
HYG,2025-07-01,dividend,0.00469929
HYG,2025-08-01,dividend,0.00502629
HYG,2025-09-02,dividend,0.00473646
HYG,2025-10-01,dividend,0.00469256
HYG,2025-11-03,dividend,0.00507415
HYG,2025-12-01,dividend,0.00463028
HYG,2025-12-19,dividend,0.00471656
HYG,2026-02-02,dividend,0.00491858
HYG,2026-03-02,dividend,0.00488111
HYG,2026-04-01,dividend,0.00482672
HYG,2026-05-01,dividend,0.00521273
HYG,2026-06-01,dividend,0.00509274
HYG,2026-07-01,dividend,0.00461415
HYG,2026-08-03,dividend,0.00483136
IEF,2021-02-01,dividend,0.00065366
IEF,2021-03-01,dividend,0.00060356
IEF,2021-04-01,dividend,0.00061731
IEF,2021-05-03,dividend,0.00065330
IEF,2021-06-01,dividend,0.00068725
IEF,2021-07-01,dividend,0.00066439
IEF,2021-08-02,dividend,0.00064664
IEF,2021-09-01,dividend,0.00068626
IEF,2021-10-01,dividend,0.00069601
IEF,2021-11-01,dividend,0.00071046
IEF,2021-12-01,dividend,0.00075734
IEF,2021-12-16,dividend,0.00091638
IEF,2022-02-01,dividend,0.00096054
IEF,2022-03-01,dividend,0.00090074
IEF,2022-04-01,dividend,0.00113006
IEF,2022-05-02,dividend,0.00121693
IEF,2022-06-01,dividend,0.00125117
IEF,2022-07-01,dividend,0.00151870
IEF,2022-08-01,dividend,0.00174996
IEF,2022-09-01,dividend,0.00177356
IEF,2022-10-03,dividend,0.00194364
IEF,2022-11-01,dividend,0.00214782
IEF,2022-12-01,dividend,0.00198777
IEF,2022-12-15,dividend,0.00194030
IEF,2023-02-01,dividend,0.00213872
IEF,2023-03-01,dividend,0.00204900
IEF,2023-04-03,dividend,0.00197717
IEF,2023-05-01,dividend,0.00239229
IEF,2023-06-01,dividend,0.00236169
IEF,2023-07-03,dividend,0.00240013
IEF,2023-08-01,dividend,0.00252296
IEF,2023-09-01,dividend,0.00255019
IEF,2023-10-02,dividend,0.00260863
IEF,2023-11-01,dividend,0.00277685
IEF,2023-12-01,dividend,0.00266506
IEF,2023-12-14,dividend,0.00294693
IEF,2024-02-01,dividend,0.00244535
IEF,2024-03-01,dividend,0.00264543
IEF,2024-04-01,dividend,0.00291401
IEF,2024-05-01,dividend,0.00296241
IEF,2024-06-03,dividend,0.00297879
IEF,2024-07-01,dividend,0.00304403
IEF,2024-08-01,dividend,0.00300931
IEF,2024-09-03,dividend,0.00296895
IEF,2024-10-01,dividend,0.00291404
IEF,2024-11-01,dividend,0.00308490
IEF,2024-12-02,dividend,0.00306765
IEF,2024-12-18,dividend,0.00328115
IEF,2025-02-03,dividend,0.00318607
IEF,2025-03-03,dividend,0.00288883
IEF,2025-04-01,dividend,0.00318414
IEF,2025-05-01,dividend,0.00326195
IEF,2025-06-02,dividend,0.00327942
IEF,2025-07-01,dividend,0.00316610
IEF,2025-08-01,dividend,0.00325368
IEF,2025-09-02,dividend,0.00326718
IEF,2025-10-01,dividend,0.00305290
IEF,2025-11-03,dividend,0.00313675
IEF,2025-12-01,dividend,0.00295831
IEF,2025-12-19,dividend,0.00323157
IEF,2026-02-02,dividend,0.00325189
IEF,2026-03-02,dividend,0.00288561
IEF,2026-04-01,dividend,0.00332313
IEF,2026-05-01,dividend,0.00328983
IEF,2026-06-01,dividend,0.00335125
IEF,2026-07-01,dividend,0.00328918
IEF,2026-08-03,dividend,0.00341637
IWM,2021-03-25,dividend,0.00187749
IWM,2021-06-10,dividend,0.00150065
IWM,2021-09-24,dividend,0.00302020
IWM,2021-12-13,dividend,0.00302633
IWM,2022-03-24,dividend,0.00195997
IWM,2022-06-09,dividend,0.00262868
IWM,2022-09-26,dividend,0.00514872
IWM,2022-12-13,dividend,0.00459004
IWM,2023-03-23,dividend,0.00367435
IWM,2023-06-07,dividend,0.00275991
IWM,2023-09-26,dividend,0.00467154
IWM,2023-12-20,dividend,0.00365249
IWM,2024-03-21,dividend,0.00253337
IWM,2024-06-11,dividend,0.00278468
IWM,2024-09-25,dividend,0.00340155
IWM,2024-12-17,dividend,0.00296026
IWM,2025-03-18,dividend,0.00223830
IWM,2025-06-16,dividend,0.00275746
IWM,2025-09-16,dividend,0.00282852
IWM,2025-12-16,dividend,0.00334218
IWM,2026-03-17,dividend,0.00177567
IWM,2026-06-15,dividend,0.00237240
QQQ,2021-03-22,dividend,0.00126038
QQQ,2021-06-21,dividend,0.00115805
QQQ,2021-09-20,dividend,0.00110722
QQQ,2021-12-20,dividend,0.00127667
QQQ,2022-03-21,dividend,0.00123385
QQQ,2022-06-21,dividend,0.00191996
QQQ,2022-09-19,dividend,0.00179235
QQQ,2022-12-19,dividend,0.00238982
QQQ,2023-03-20,dividend,0.00154649
QQQ,2023-06-20,dividend,0.00136970
QQQ,2023-09-18,dividend,0.00144427
QQQ,2023-12-18,dividend,0.00199404
QQQ,2023-12-27,dividend,0.00052530
QQQ,2024-03-18,dividend,0.00132154
QQQ,2024-06-24,dividend,0.00158586
QQQ,2024-09-23,dividend,0.00140300
QQQ,2024-12-23,dividend,0.00160925
QQQ,2025-03-24,dividend,0.00148848
QQQ,2025-06-23,dividend,0.00112202
QQQ,2025-09-22,dividend,0.00115785
QQQ,2025-12-22,dividend,0.00128691
QQQ,2026-03-23,dividend,0.00125901
QQQ,2026-06-22,dividend,0.00109839
SHY,2021-02-01,dividend,0.00034841
SHY,2021-03-01,dividend,0.00025530
SHY,2021-04-01,dividend,0.00022391
SHY,2021-05-03,dividend,0.00014191
SHY,2021-06-01,dividend,0.00013994
SHY,2021-07-01,dividend,0.00015308
SHY,2021-08-02,dividend,0.00014412
SHY,2021-09-01,dividend,0.00014856
SHY,2021-10-01,dividend,0.00012403
SHY,2021-11-01,dividend,0.00012804
SHY,2021-12-01,dividend,0.00058171
SHY,2021-12-16,dividend,0.00021106
SHY,2022-02-01,dividend,0.00027427
SHY,2022-03-01,dividend,0.00030059
SHY,2022-04-01,dividend,0.00043556
SHY,2022-05-02,dividend,0.00052593
SHY,2022-06-01,dividend,0.00077672
SHY,2022-07-01,dividend,0.00095407
SHY,2022-08-01,dividend,0.00106250
SHY,2022-09-01,dividend,0.00122112
SHY,2022-10-03,dividend,0.00133023
SHY,2022-11-01,dividend,0.00173701
SHY,2022-12-01,dividend,0.00203186
SHY,2022-12-15,dividend,0.00221655
SHY,2023-02-01,dividend,0.00186360
SHY,2023-03-01,dividend,0.00200388
SHY,2023-04-03,dividend,0.00219295
SHY,2023-05-01,dividend,0.00232628
SHY,2023-06-01,dividend,0.00241247
SHY,2023-07-03,dividend,0.00254091
SHY,2023-08-01,dividend,0.00261132
SHY,2023-09-01,dividend,0.00253332
SHY,2023-10-02,dividend,0.00258197
SHY,2023-11-01,dividend,0.00284275
SHY,2023-12-01,dividend,0.00302496
SHY,2023-12-14,dividend,0.00317076
SHY,2024-02-01,dividend,0.00294192
SHY,2024-03-01,dividend,0.00294188
SHY,2024-04-01,dividend,0.00330726
SHY,2024-05-01,dividend,0.00322393
SHY,2024-06-03,dividend,0.00321753
SHY,2024-07-01,dividend,0.00331159
SHY,2024-08-01,dividend,0.00330897
SHY,2024-09-03,dividend,0.00348127
SHY,2024-10-01,dividend,0.00328357
SHY,2024-11-01,dividend,0.00343786
SHY,2024-12-02,dividend,0.00322274
SHY,2024-12-18,dividend,0.00341498
SHY,2025-02-03,dividend,0.00332352
SHY,2025-03-03,dividend,0.00306382
SHY,2025-04-01,dividend,0.00338191
SHY,2025-05-01,dividend,0.00311835
SHY,2025-06-02,dividend,0.00328850
SHY,2025-07-01,dividend,0.00318713
SHY,2025-08-01,dividend,0.00327009
SHY,2025-09-02,dividend,0.00311358
SHY,2025-10-01,dividend,0.00308890
SHY,2025-11-03,dividend,0.00316630
SHY,2025-12-01,dividend,0.00299494
SHY,2025-12-19,dividend,0.00306937
SHY,2026-02-02,dividend,0.00301184
SHY,2026-03-02,dividend,0.00268062
SHY,2026-04-01,dividend,0.00299032
SHY,2026-05-01,dividend,0.00294349
SHY,2026-06-01,dividend,0.00295139
SHY,2026-07-01,dividend,0.00290234
SHY,2026-08-03,dividend,0.00305823
SPY,2021-03-19,dividend,0.00326400
SPY,2021-06-18,dividend,0.00326062
SPY,2021-09-17,dividend,0.00319367
SPY,2021-12-17,dividend,0.00350825
SPY,2022-03-18,dividend,0.00309704
SPY,2022-06-17,dividend,0.00430071
SPY,2022-09-16,dividend,0.00409207
SPY,2022-12-16,dividend,0.00457202
SPY,2023-03-17,dividend,0.00380248
SPY,2023-06-16,dividend,0.00370170
SPY,2023-09-15,dividend,0.00351497
SPY,2023-12-15,dividend,0.00403819
SPY,2024-03-15,dividend,0.00309725
SPY,2024-06-21,dividend,0.00321577
SPY,2024-09-20,dividend,0.00305707
SPY,2024-12-20,dividend,0.00335361
SPY,2025-03-21,dividend,0.00299833
SPY,2025-06-20,dividend,0.00294758
SPY,2025-09-19,dividend,0.00276478
SPY,2025-12-19,dividend,0.00294616
SPY,2026-03-20,dividend,0.00272355
SPY,2026-06-18,dividend,0.00256964
TLT,2021-02-01,dividend,0.00115644
TLT,2021-03-01,dividend,0.00119994
TLT,2021-04-01,dividend,0.00136636
TLT,2021-05-03,dividend,0.00146479
TLT,2021-06-01,dividend,0.00143938
TLT,2021-07-01,dividend,0.00129896
TLT,2021-08-02,dividend,0.00121539
TLT,2021-09-01,dividend,0.00127221
TLT,2021-10-01,dividend,0.00126855
TLT,2021-11-01,dividend,0.00127441
TLT,2021-12-01,dividend,0.00121480
TLT,2021-12-16,dividend,0.00112298
TLT,2022-02-01,dividend,0.00139148
TLT,2022-03-01,dividend,0.00132069
TLT,2022-04-01,dividend,0.00152735
TLT,2022-05-02,dividend,0.00170058
TLT,2022-06-01,dividend,0.00177965
TLT,2022-07-01,dividend,0.00197552
TLT,2022-08-01,dividend,0.00181417
TLT,2022-09-01,dividend,0.00211067
TLT,2022-10-03,dividend,0.00238275
TLT,2022-11-01,dividend,0.00245171
TLT,2022-12-01,dividend,0.00237757
TLT,2022-12-15,dividend,0.00241360
TLT,2023-02-01,dividend,0.00257064
TLT,2023-03-01,dividend,0.00245570
TLT,2023-04-03,dividend,0.00252661
TLT,2023-05-01,dividend,0.00251725
TLT,2023-06-01,dividend,0.00265120
TLT,2023-07-03,dividend,0.00269791
TLT,2023-08-01,dividend,0.00275148
TLT,2023-09-01,dividend,0.00298615
TLT,2023-10-02,dividend,0.00315707
TLT,2023-11-01,dividend,0.00342532
TLT,2023-12-01,dividend,0.00315549
TLT,2023-12-14,dividend,0.00320670
TLT,2024-02-01,dividend,0.00320833
TLT,2024-03-01,dividend,0.00313485
TLT,2024-04-01,dividend,0.00330190
TLT,2024-05-01,dividend,0.00348823
TLT,2024-06-03,dividend,0.00340859
TLT,2024-07-01,dividend,0.00317177
TLT,2024-08-01,dividend,0.00332081
TLT,2024-09-03,dividend,0.00324160
TLT,2024-10-01,dividend,0.00321867
TLT,2024-11-01,dividend,0.00335898
TLT,2024-12-02,dividend,0.00345881
TLT,2024-12-18,dividend,0.00387252
TLT,2025-02-03,dividend,0.00355839
TLT,2025-03-03,dividend,0.00313546
TLT,2025-04-01,dividend,0.00357663
TLT,2025-05-01,dividend,0.00366169
TLT,2025-06-02,dividend,0.00370349
TLT,2025-07-01,dividend,0.00372017
TLT,2025-08-01,dividend,0.00380576
TLT,2025-09-02,dividend,0.00378844
TLT,2025-10-01,dividend,0.00347370
TLT,2025-11-03,dividend,0.00360086
TLT,2025-12-01,dividend,0.00355442
TLT,2025-12-19,dividend,0.00388170
TLT,2026-02-02,dividend,0.00380915
TLT,2026-03-02,dividend,0.00331026
TLT,2026-04-01,dividend,0.00397715
TLT,2026-05-01,dividend,0.00368305
TLT,2026-06-01,dividend,0.00391534
TLT,2026-07-01,dividend,0.00368008
TLT,2026-08-03,dividend,0.00401766
XLF,2021-03-22,dividend,0.00441938
XLF,2021-06-21,dividend,0.00395382
XLF,2021-09-20,dividend,0.00431164
XLF,2021-12-20,dividend,0.00477884
XLF,2022-03-21,dividend,0.00389564
XLF,2022-06-21,dividend,0.00529887
XLF,2022-09-19,dividend,0.00521907
XLF,2022-12-19,dividend,0.00622018
XLF,2023-03-20,dividend,0.00492615
XLF,2023-06-20,dividend,0.00447650
XLF,2023-09-18,dividend,0.00445010
XLF,2023-12-18,dividend,0.00492658
XLF,2024-03-18,dividend,0.00373926
XLF,2024-06-24,dividend,0.00393884
XLF,2024-09-23,dividend,0.00362012
XLF,2024-12-23,dividend,0.00425157
XLF,2025-03-24,dividend,0.00361460
XLF,2025-06-23,dividend,0.00341544
XLF,2025-09-22,dividend,0.00328095
XLF,2025-12-22,dividend,0.00348293
XLF,2026-03-23,dividend,0.00511405
XLF,2026-06-22,dividend,0.00349077
