ticker,date,kind,factor_step
PFF,2015-07-02,dividend,0.00464661
PFF,2015-08-04,dividend,0.00469003
PFF,2015-09-01,dividend,0.00443251
PFF,2015-10-01,dividend,0.00441902
PFF,2015-11-02,dividend,0.00383487
PFF,2015-12-01,dividend,0.00408992
PFF,2015-12-24,dividend,0.00817810
PFF,2016-02-01,dividend,0.00453655
PFF,2016-03-01,dividend,0.00514001
PFF,2016-04-01,dividend,0.00492476
PFF,2016-05-02,dividend,0.00464482
PFF,2016-06-01,dividend,0.00446030
PFF,2016-07-06,dividend,0.00437212
PFF,2016-08-02,dividend,0.00445331
PFF,2016-09-01,dividend,0.00425741
PFF,2016-10-03,dividend,0.00425098
PFF,2016-11-01,dividend,0.00459410
PFF,2016-12-01,dividend,0.00486506
PFF,2016-12-22,dividend,0.00542666
PFF,2017-02-01,dividend,0.00502478
PFF,2017-03-01,dividend,0.00493621
PFF,2017-04-03,dividend,0.00492566
PFF,2017-05-02,dividend,0.00474442
PFF,2017-06-01,dividend,0.00463993
PFF,2017-07-06,dividend,0.00454488
PFF,2017-08-01,dividend,0.00450346
PFF,2017-09-01,dividend,0.00454114
PFF,2017-10-02,dividend,0.00451137
PFF,2017-11-01,dividend,0.00495840
PFF,2017-12-01,dividend,0.00499141
PFF,2017-12-21,dividend,0.00259133
PFF,2018-02-01,dividend,0.00503197
PFF,2018-03-01,dividend,0.00459370
PFF,2018-04-02,dividend,0.00441559
PFF,2018-05-01,dividend,0.00485981
PFF,2018-06-01,dividend,0.00520540
PFF,2018-07-03,dividend,0.00511860
PFF,2018-08-01,dividend,0.00468812
PFF,2018-09-04,dividend,0.00423677
PFF,2018-10-01,dividend,0.00428662
PFF,2018-11-01,dividend,0.00432990
PFF,2018-12-03,dividend,0.00443951
PFF,2018-12-18,dividend,0.00749546
PFF,2019-02-01,dividend,0.00468322
PFF,2019-03-01,dividend,0.00492379
PFF,2019-04-01,dividend,0.00493642
PFF,2019-05-02,dividend,0.00468604
PFF,2019-06-03,dividend,0.00456219
PFF,2019-07-02,dividend,0.00437170
PFF,2019-08-01,dividend,0.00442584
PFF,2019-09-03,dividend,0.00428425
PFF,2019-10-01,dividend,0.00424009
PFF,2019-11-01,dividend,0.00442055
PFF,2019-12-02,dividend,0.00441342
PFF,2019-12-19,dividend,0.00412979
PFF,2020-02-03,dividend,0.00429143
PFF,2020-03-02,dividend,0.00441730
PFF,2020-04-01,dividend,0.00544035
PFF,2020-05-01,dividend,0.00489840
PFF,2020-06-01,dividend,0.00481200
PFF,2020-07-01,dividend,0.00483529
PFF,2020-08-03,dividend,0.00451466
PFF,2020-09-01,dividend,0.00436561
PFF,2020-10-01,dividend,0.00431977
PFF,2020-11-02,dividend,0.00418442
PFF,2020-12-01,dividend,0.00392462
PFF,2020-12-17,dividend,0.00160986
PFF,2021-02-01,dividend,0.00395536
PFF,2021-03-01,dividend,0.00402004
PFF,2021-04-01,dividend,0.00394542
PFF,2021-05-03,dividend,0.00403937
PFF,2021-06-01,dividend,0.00402625
PFF,2021-07-01,dividend,0.00391674
PFF,2021-08-02,dividend,0.00381919
PFF,2021-09-01,dividend,0.00385221
PFF,2021-10-01,dividend,0.00383010
PFF,2021-11-01,dividend,0.00347322
PFF,2021-12-01,dividend,0.00321504
PFF,2021-12-16,dividend,0.00325539
PFF,2022-02-01,dividend,0.00298107
PFF,2022-03-01,dividend,0.00334670
PFF,2022-04-01,dividend,0.00374246
PFF,2022-05-02,dividend,0.00360870
PFF,2022-06-01,dividend,0.00420248
PFF,2022-07-01,dividend,0.00403245
PFF,2022-08-01,dividend,0.00472028
PFF,2022-09-01,dividend,0.00453193
PFF,2022-10-03,dividend,0.00534741
PFF,2022-11-01,dividend,0.00557098
PFF,2022-12-01,dividend,0.00540640
PFF,2022-12-15,dividend,0.00747385
PFF,2023-02-01,dividend,0.00554002
PFF,2023-03-01,dividend,0.00580933
PFF,2023-04-03,dividend,0.00593148
PFF,2023-05-01,dividend,0.00543788
PFF,2023-06-01,dividend,0.00541912
PFF,2023-07-03,dividend,0.00511810
PFF,2023-08-01,dividend,0.00503466
PFF,2023-09-01,dividend,0.00500887
PFF,2023-10-02,dividend,0.00533302
PFF,2023-11-01,dividend,0.00605422
PFF,2023-12-01,dividend,0.00571487
PFF,2023-12-14,dividend,0.00622079
PFF,2024-02-01,dividend,0.00550450
PFF,2024-03-01,dividend,0.00529246
PFF,2024-04-01,dividend,0.00484461
PFF,2024-05-01,dividend,0.00515667
PFF,2024-06-03,dividend,0.00514669
PFF,2024-07-01,dividend,0.00519799
PFF,2024-08-01,dividend,0.00506505
PFF,2024-09-03,dividend,0.00504390
PFF,2024-10-01,dividend,0.00497925
PFF,2024-11-01,dividend,0.00503446
PFF,2024-12-02,dividend,0.00500353
PFF,2024-12-18,dividend,0.00550254
PFF,2025-02-03,dividend,0.00551573
PFF,2025-03-03,dividend,0.00543383
PFF,2025-04-01,dividend,0.00561329
PFF,2025-05-01,dividend,0.00576971
PFF,2025-06-02,dividend,0.00577491
PFF,2025-07-01,dividend,0.00566145
PFF,2025-08-01,dividend,0.00518837
PFF,2025-09-02,dividend,0.00510926
PFF,2025-10-01,dividend,0.00539935
PFF,2025-11-03,dividend,0.00546999
PFF,2025-12-01,dividend,0.00567198
PFF,2025-12-19,dividend,0.00211505
PFF,2026-02-02,dividend,0.00559259
PFF,2026-03-02,dividend,0.00099208
PFF,2026-04-01,dividend,0.00468236
PFF,2026-05-01,dividend,0.00446203
PFF,2026-06-01,dividend,0.00438507
PFF,2026-07-01,dividend,0.00464864
PFF,2026-08-03,dividend,0.00467068
PFF,2026-09-01,dividend,0.00483702
QQQ,2012-06-15,dividend,0.00229508
QQQ,2013-03-15,dividend,0.00231366
QQQ,2013-06-21,dividend,0.00314811
QQQ,2013-09-20,dividend,0.00299005
QQQ,2013-12-20,dividend,0.00317130
QQQ,2014-02-27,dividend,0.00413536
QQQ,2014-03-21,dividend,0.00228209
QQQ,2014-06-20,dividend,0.00268099
QQQ,2014-09-19,dividend,0.00237144
QQQ,2014-12-19,dividend,0.00371042
QQQ,2015-03-20,dividend,0.00229510
QQQ,2015-06-19,dividend,0.00229612
QQQ,2015-09-18,dividend,0.00242708
QQQ,2015-12-18,dividend,0.00304786
QQQ,2016-03-18,dividend,0.00295584
QQQ,2016-06-17,dividend,0.00265315
QQQ,2016-09-16,dividend,0.00249807
QQQ,2016-12-16,dividend,0.00294800
QQQ,2017-03-17,dividend,0.00207680
QQQ,2017-06-16,dividend,0.00271993
QQQ,2017-09-18,dividend,0.00218666
QQQ,2017-12-18,dividend,0.00208942
QQQ,2018-03-19,dividend,0.00161702
QQQ,2018-06-18,dividend,0.00213798
QQQ,2018-09-24,dividend,0.00179492
QQQ,2018-12-24,dividend,0.00285029
QQQ,2019-03-18,dividend,0.00181782
QQQ,2019-06-24,dividend,0.00220386
QQQ,2019-09-23,dividend,0.00201331
QQQ,2019-12-23,dividend,0.00216171
QQQ,2020-03-23,dividend,0.00212470
QQQ,2020-06-22,dividend,0.00173706
QQQ,2020-09-21,dividend,0.00145480
QQQ,2020-12-21,dividend,0.00181040
QQQ,2021-03-22,dividend,0.00126038
QQQ,2021-06-21,dividend,0.00115805
QQQ,2021-09-20,dividend,0.00110722
QQQ,2021-12-20,dividend,0.00127667
QQQ,2022-03-21,dividend,0.00123385
QQQ,2022-06-21,dividend,0.00191996
QQQ,2022-09-19,dividend,0.00179235
QQQ,2022-12-19,dividend,0.00238982
QQQ,2023-03-20,dividend,0.00154649
QQQ,2023-06-20,dividend,0.00136970
QQQ,2023-09-18,dividend,0.00144427
QQQ,2023-12-18,dividend,0.00199404
QQQ,2023-12-27,dividend,0.00052530
QQQ,2024-03-18,dividend,0.00132154
QQQ,2024-06-24,dividend,0.00158586
QQQ,2024-09-23,dividend,0.00140300
QQQ,2024-12-23,dividend,0.00160925
QQQ,2025-03-24,dividend,0.00148848
QQQ,2025-06-23,dividend,0.00112202
QQQ,2025-09-22,dividend,0.00115785
QQQ,2025-12-22,dividend,0.00128691
QQQ,2026-03-23,dividend,0.00125901
QQQ,2026-06-22,dividend,0.00109839
SHY,2006-11-01,dividend,0.00369754
SHY,2006-12-01,dividend,0.00356380
SHY,2006-12-27,dividend,0.00306046
SHY,2007-04-02,dividend,0.00366482
SHY,2007-07-02,dividend,0.00377304
SHY,2011-04-01,dividend,0.00080327
SHY,2011-05-02,dividend,0.00078646
SHY,2011-06-01,dividend,0.00078288
SHY,2011-07-01,dividend,0.00072834
SHY,2011-08-01,dividend,0.00072107
SHY,2011-09-01,dividend,0.00064287
SHY,2011-10-03,dividend,0.00057688
SHY,2011-11-01,dividend,0.00056855
SHY,2011-12-01,dividend,0.00053025
SHY,2011-12-27,dividend,0.00045732
SHY,2012-02-01,dividend,0.00036968
SHY,2012-03-01,dividend,0.00041751
SHY,2012-04-02,dividend,0.00035916
SHY,2012-05-01,dividend,0.00032729
SHY,2012-06-01,dividend,0.00032973
SHY,2012-07-02,dividend,0.00030969
